timestamp,measured_power_dBm,standard_deviation
4.0,-84.345981,0.006862
8.1,-84.355446,0.007724
12.1,-84.350454,0.004852
16.1,-84.353989,0.009467
20.1,-84.367726,0.015870
24.2,-84.375600,0.009258
28.2,-84.397900,0.008857
32.2,-84.398340,0.006458
36.3,-84.392740,0.005010
40.3,-84.399567,0.006881
44.3,-84.425722,0.008208
48.3,-84.425622,0.006286
52.3,-84.416991,0.011492
56.3,-84.403676,0.008201
60.4,-84.407620,0.006949
64.4,-84.438740,0.007981
68.5,-84.431083,0.005364
72.5,-84.427286,0.009178
76.5,-84.467424,0.016058
80.5,-84.475871,0.007033
84.5,-84.442650,0.009368
88.6,-84.444596,0.009610
92.6,-84.453846,0.005934
96.6,-84.452606,0.004648
100.7,-84.458788,0.006295
104.7,-84.479357,0.015449
108.7,-84.495528,0.008491
112.7,-84.466606,0.009296
116.7,-84.496574,0.009719
120.8,-84.511098,0.010444
124.8,-84.492761,0.007824
128.8,-84.504335,0.004733
132.9,-84.505900,0.005033
136.9,-84.498997,0.006909
140.9,-84.510044,0.007909
144.9,-84.515341,0.005684
149.0,-84.508825,0.008631
153.0,-84.511381,0.005405
157.0,-84.509019,0.007869
161.1,-84.502520,0.005340
165.1,-84.494904,0.006608
169.1,-84.496868,0.005567
173.1,-84.504593,0.004757
177.1,-84.505313,0.008551
181.2,-84.499924,0.004875
185.2,-84.503282,0.005469
189.2,-84.520488,0.004790
193.2,-84.491500,0.013572
197.3,-84.465019,0.007589
201.3,-84.465427,0.007206
205.4,-84.468558,0.005121
209.4,-84.497134,0.019061
213.4,-84.508680,0.009446
217.4,-84.479834,0.014999
221.4,-84.483446,0.007998
225.4,-84.515435,0.012157
229.5,-84.518435,0.012739
233.5,-84.505913,0.007356
237.5,-84.500437,0.006673
241.5,-84.495220,0.009181
245.6,-84.498410,0.008053
249.6,-84.509779,0.008609
253.6,-84.516944,0.005801
257.7,-84.515595,0.013245
261.7,-84.531326,0.003854
265.7,-84.536657,0.007236
269.8,-84.530909,0.006095
273.8,-84.538604,0.007776
277.8,-84.545018,0.006889
281.8,-84.528475,0.009322
285.9,-84.526505,0.004673
289.9,-84.527492,0.007284
293.9,-84.551773,0.004443
298.0,-84.535390,0.009451
302.0,-84.517605,0.007266
306.0,-84.534817,0.009772
310.0,-84.546862,0.009059
314.1,-84.531356,0.004343
318.1,-84.520404,0.010290
322.1,-84.544897,0.015752
326.1,-84.564073,0.006671
330.1,-84.546146,0.004370
334.1,-84.538257,0.006442
338.1,-84.552817,0.006253
342.2,-84.548746,0.009193
346.2,-84.557490,0.005522
350.2,-84.537756,0.011224
354.3,-84.526920,0.006428
358.3,-84.541485,0.003593
362.3,-84.535643,0.005772
366.4,-84.525637,0.013136
370.4,-84.526765,0.007206
374.4,-84.537089,0.005608
378.5,-84.515146,0.009372
382.5,-84.520600,0.005789
386.5,-84.532908,0.011402
390.5,-84.530085,0.008189
394.6,-84.535746,0.005330
398.6,-84.539641,0.005328
402.6,-84.539221,0.007936
406.6,-84.539800,0.005014
410.7,-84.556820,0.006375
414.7,-84.571465,0.009357
418.7,-84.565928,0.016126
422.7,-84.535367,0.004913
426.8,-84.541372,0.009162
430.8,-84.538878,0.009325
434.8,-84.539202,0.007109
438.8,-84.558535,0.005111
442.9,-84.569502,0.006614
446.9,-84.550563,0.006692
451.0,-84.547751,0.007970
455.0,-84.566359,0.003933
459.1,-84.568373,0.004764
463.1,-84.536103,0.014707
467.2,-84.530222,0.007780
471.2,-84.548654,0.008813
475.2,-84.535028,0.019971
479.3,-84.526525,0.009908
483.3,-84.531650,0.013591
487.3,-84.550303,0.004322
491.3,-84.575236,0.008775
495.3,-84.569623,0.008864
499.4,-84.581184,0.004539
503.4,-84.583916,0.004561
507.4,-84.569635,0.004472
511.4,-84.545764,0.012796
515.4,-84.537567,0.013705
519.5,-84.558418,0.006886
523.5,-84.565407,0.005230
527.5,-84.564540,0.006313
531.5,-84.571089,0.004262
535.5,-84.566493,0.010042
539.5,-84.585040,0.005833
543.6,-84.576168,0.006690
547.6,-84.567982,0.006239
551.7,-84.572444,0.006408
555.7,-84.557536,0.008657
559.7,-84.556585,0.005207
563.8,-84.554512,0.007266
567.8,-84.556660,0.008512
571.8,-84.548500,0.011323
575.8,-84.552678,0.010184
579.9,-84.532957,0.016034
583.9,-84.549875,0.018880
587.9,-84.569222,0.005556
592.0,-84.567345,0.007350
596.0,-84.541623,0.005735
600.0,-84.551553,0.004202
604.0,-84.551108,0.007517
608.0,-84.556629,0.006735
612.0,-84.561960,0.011595
616.1,-84.568924,0.008854
620.1,-84.600636,0.006404
624.1,-84.582720,0.008925
628.1,-84.545786,0.014599
632.1,-84.531623,0.008939
636.1,-84.552191,0.006628
640.2,-84.579083,0.007440
644.2,-84.585777,0.005965
648.2,-84.561547,0.011839
652.3,-84.559866,0.010265
656.3,-84.592953,0.009786
660.4,-84.592441,0.004960
664.4,-84.586460,0.005756
668.4,-84.560572,0.022176
672.4,-84.533849,0.005217
676.4,-84.552413,0.014699
680.5,-84.565352,0.006207
684.5,-84.572240,0.006861
688.5,-84.570354,0.007529
692.5,-84.602360,0.011565
696.6,-84.590210,0.011361
700.6,-84.554469,0.012102
704.6,-84.531579,0.009254
708.7,-84.577246,0.009722
712.7,-84.583496,0.011229
716.7,-84.539893,0.013617
720.7,-84.551115,0.011607
724.7,-84.559238,0.008047
728.8,-84.570152,0.009962
732.8,-84.597075,0.012725
736.8,-84.611215,0.015178
740.9,-84.602988,0.009508
744.9,-84.576558,0.011930
748.9,-84.596955,0.006593
752.9,-84.605588,0.011741
757.0,-84.604346,0.005930
761.0,-84.599868,0.007537
765.0,-84.569822,0.005509
769.0,-84.566917,0.012781
773.1,-84.552628,0.008951
777.1,-84.558348,0.017375
781.1,-84.535132,0.005732
785.1,-84.538249,0.014155
789.1,-84.568597,0.014937
793.1,-84.572261,0.015535
797.1,-84.579270,0.009418
801.2,-84.584851,0.007745
805.2,-84.580329,0.012381
809.2,-84.560099,0.008881
813.3,-84.582212,0.006510
817.3,-84.601175,0.004672
821.3,-84.601597,0.001894
825.4,-84.625867,0.007641
829.5,-84.619008,0.007519
833.5,-84.590457,0.007630
837.5,-84.571712,0.007315
841.5,-84.573545,0.010570
845.6,-84.559211,0.005550
849.6,-84.559393,0.016038
853.6,-84.543777,0.009400
857.6,-84.555707,0.007219
861.7,-84.569025,0.006485
865.7,-84.573559,0.008538
869.8,-84.574758,0.001723
873.8,-84.564982,0.005247
877.8,-84.550473,0.003084
881.8,-84.557831,0.004394
885.9,-84.554063,0.003849
889.9,-84.547549,0.007890
893.9,-84.527055,0.003946
898.0,-84.549034,0.006639
902.0,-84.560418,0.006404
906.0,-84.576104,0.003071
